ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PLC,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,CAMPECHE,146,368,43509,33462,4298,2489,4319,2225,2700,36182,2188,2155,908,1346,631,172,46,,,,181,,491,730,138032,500,5960,144492,205172,
4,CAMPECHE,2,CALKINI,36,76,1399,9557,2007,646,1594,2956,2254,9590,338,462,160,492,79,87,15,,,,,,,,31636,49,1116,32801,40662,
4,CAMPECHE,3,CARMEN,135,301,17485,26123,2582,1236,3432,1455,1277,45154,1335,1533,274,1266,417,170,49,1677,316,531,,542,,,106854,56,5390,112300,178048,
4,CAMPECHE,4,CHAMPOTON,56,117,6301,12411,2325,533,1631,514,947,15248,1222,261,80,501,198,44,8,,,,,,,,42224,14,2461,44699,64270,
4,CAMPECHE,5,HECELCHAKAN,18,37,4189,3155,345,265,91,233,1698,2952,4160,57,55,122,17,45,8,,,,,,,,17392,651,606,18649,22098,
4,CAMPECHE,6,HOPELCHEN,32,54,4430,9691,472,285,866,257,241,2418,82,45,385,249,107,41,3,,,,,,,,19572,0,622,20194,26997,
4,CAMPECHE,7,PALIZADA,10,13,268,2091,571,29,42,501,55,1931,28,2,12,61,17,3,0,,,,,,,,5611,0,199,5810,6978,
4,CAMPECHE,8,TENABO,8,17,902,2368,52,106,47,49,124,2803,30,21,6,110,38,21,1,,,,,,,,6678,0,136,6814,8006,
4,CAMPECHE,9,ESCARCEGA,36,72,3154,5850,859,363,2246,518,247,10129,532,299,59,329,116,21,2,,,,,,,,24724,12,1516,26252,39866,
4,CAMPECHE,10,CANDELARIA,30,61,6752,6853,292,120,314,177,255,3818,88,29,105,258,120,36,4,,,,,,,,19221,0,1206,20427,30987,
4,CAMPECHE,11,CALAKMUL,18,39,1854,4623,301,94,675,217,236,1933,91,2584,67,264,117,24,2,,,,,,,,13082,12,946,14040,18972,
