ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,PAS,MORENA,ES,PAIS,PAN_PRD_MC_PAS,PAN_PRD_MC,PAN_PRD_PAS,PAN_MC_PAS,PRD_MC_PAS,PAN_PRD,PAN_MC,PAN_PAS,PRD_MC,PRD_PAS,MC_PAS,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
25,SINALOA,1,AHOME ,453,669,28831,38675,2588,2378,6262,2962,2969,8535,88503,2780,2539,254,239,61,113,24,130,96,89,24,18,66,873,619,178,51,1425,553,65,417,,,,,,,,,192317,137,6012,198466,321131,
25,SINALOA,2,ANGOSTURA,103,112,3124,6441,1418,369,271,1233,342,4498,5695,277,140,183,56,49,23,21,48,25,56,13,34,44,87,101,37,6,102,31,6,34,,,,,,,,,24764,3,980,25747,35903,
25,SINALOA,3,BADIRAGUATO,60,67,1323,6583,2096,335,206,235,201,1250,705,57,55,61,25,28,6,3,60,10,24,7,22,10,,,,,13,5,3,6,98,121,19,0,,,,,13567,7,651,14225,22814,
25,SINALOA,7,CHOIX,67,74,2630,3707,164,194,199,146,1182,308,6252,100,58,11,16,6,5,1,20,5,14,0,2,4,86,50,32,13,77,31,6,35,,,,,,,,,15354,4,578,15936,23300,
25,SINALOA,4,CONCORDIA,43,49,2614,4579,170,135,171,182,227,1320,2589,68,95,25,10,9,11,0,7,12,39,2,5,5,54,66,16,5,45,13,0,21,,,,,,,,,12495,6,533,13034,20583,
25,SINALOA,5,COSALA,32,37,609,3411,61,70,52,237,107,2206,294,17,67,20,7,11,23,6,2,18,109,3,9,30,,,,,1,0,1,2,,,,,,,,,7373,89,2077,9539,12149,
25,SINALOA,6,CULIACAN,1001,1436,31513,81325,4776,7303,12575,6675,7324,26482,170445,5293,8960,403,375,148,114,33,170,101,173,36,66,135,1452,1250,251,86,4275,1562,242,1184,,,,,2704,1566,2914,,381911,375,11927,394213,681372,
25,SINALOA,10,EL FUERTE,169,183,5350,13654,684,475,774,1221,796,3582,15910,593,299,34,44,31,22,6,29,31,73,6,13,32,196,206,45,8,348,123,17,164,,,,,,,,,44766,9,1762,46537,71928,
25,SINALOA,8,ELOTA,59,75,1897,7377,540,172,364,469,346,3405,4424,201,151,47,23,10,17,4,23,13,73,6,11,25,,,,,83,30,8,33,,,,,,,,,19752,0,827,20579,29975,
25,SINALOA,9,ESCUINAPA,63,86,2276,7062,732,520,177,415,1227,577,9575,200,114,12,13,1,2,0,15,3,2,2,1,2,,,,,,,,,,,,,,,,,22928,3,827,23758,40712,
25,SINALOA,11,GUASAVE,437,501,6583,37285,2002,1652,6688,1657,2492,6057,54786,2166,1119,43,80,23,14,2,51,28,41,25,14,48,806,649,192,48,1454,699,106,514,62,72,7,4,,,,,127469,58,4002,131529,208773,
25,SINALOA,12,MAZATLAN ,492,719,26570,43878,2187,4200,5521,3729,2817,8295,83577,1789,3155,260,266,72,100,41,139,209,158,27,15,59,841,1084,119,54,1823,815,78,470,,,,,,,,1727,194075,437,6656,201168,350510,
25,SINALOA,13,MOCORITO,112,116,1665,7508,867,353,373,352,340,4971,4635,195,222,199,48,96,72,69,53,24,127,23,87,72,,,,,177,118,21,111,275,245,143,8,,,,,23449,10,1017,24476,35352,
25,SINALOA,18,NAVOLATO,172,225,4908,14262,1178,1065,3492,1041,719,4389,24523,877,1377,76,102,32,39,11,123,24,63,24,12,32,220,253,36,17,885,399,48,234,58,87,9,3,,,,,60618,42,1902,62562,103304,
25,SINALOA,14,ROSARIO,84,96,8063,5255,2126,194,171,235,440,716,3386,265,233,41,57,29,2,3,156,23,54,10,7,11,,,,,,,,,,,,,,,,,21477,13,1247,22737,37933,
25,SINALOA,15,SALVADOR ALVARADO,144,165,7844,7704,2624,492,651,1284,620,3834,9662,1022,280,138,69,56,23,27,110,35,61,13,15,24,163,180,28,13,202,85,18,127,,,,,,,,,37404,7,1223,38634,60843,
25,SINALOA,16,SAN IGNACIO,37,44,467,2044,79,2399,137,159,312,1040,1384,73,52,15,9,9,7,2,9,4,13,1,1,22,,,,,16,13,1,17,,,,,,,,,8285,34,914,9233,15867,
25,SINALOA,17,SINALOA,176,187,2115,13946,1299,373,2190,972,744,1783,10831,446,227,13,26,6,4,4,28,21,17,17,10,36,,,,,213,180,32,67,114,152,55,21,,,,,35942,13,1714,37669,62809,
