ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
23,QUINTANA ROO,1,BENITO JUÁREZ,448,905,43575,39782,14666,48144,5035,7893,5418,36782,22837,5315,1059,5040,83,80,405,235709,9623,245737,520173,0.4741
23,QUINTANA ROO,2,COZUMEL,22,97,17308,13606,987,1035,261,533,316,1894,660,1639,111,421,7,8,16,38786,938,39740,63872,0.6222
23,QUINTANA ROO,3,FELIPE CARRILLO PUERTO,35,87,4340,11028,7430,1138,365,119,1124,2757,1729,2241,0,0,0,0,7,32271,2027,34305,48700,0.7044
23,QUINTANA ROO,4,ISLA MUJERES,10,27,4188,3837,215,396,87,68,110,741,155,351,30,151,4,0,2,10333,216,10551,16921,0.6235
23,QUINTANA ROO,5,JOSÉ MARÍA MORELOS,22,43,1829,7248,2995,620,296,235,698,703,2906,486,210,81,7,4,9,18318,1002,19329,24212,0.7983
23,QUINTANA ROO,6,LÁZARO CÁRDENAS,14,36,4613,5487,705,406,233,132,472,669,754,280,85,153,14,3,10,14006,442,14458,18720,0.7723
23,QUINTANA ROO,7,OTHÓN P. BLANCO,160,293,40928,25769,5681,2439,1795,1292,1977,9841,3253,6794,336,524,33,5,55,100667,3119,103841,160940,0.6452
23,QUINTANA ROO,8,SOLIDARIDAD,157,288,13432,16248,6724,2752,830,1313,1306,14518,2361,2947,153,411,21,6,74,63022,2412,65508,163475,0.4007
23,QUINTANA ROO,9,TULUM,41,55,1901,6021,2392,654,243,183,183,1649,422,991,115,259,11,2,4,15026,540,15570,24902,0.6253
23,QUINTANA ROO,10,BACALAR,25,51,1641,4825,1704,480,4253,201,1423,1384,138,342,280,116,58,17,10,16862,884,17756,27319,0.65
23,QUINTANA ROO,11,PUERTO MORELOS,4,21,1800,1967,512,1150,246,643,79,1331,191,385,43,113,4,0,5,8464,329,8798,14063,0.6256
